index,artist_name,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,artist_hotttness,song_hotttness,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,release,year
17,Leon Lai,0.0,203.38893,0.0,0.0,0,0.374,-7.762,0,0.481,0.23013079375223383,nan,191.745,103.995,4,0.0,Qing Yi Shi,4 in Love,0
18,Henri Pousseur,0.0,446.24934,0.247,0.0,10,0.0,-20.226,1,0.185,0.25751540347437846,nan,436.645,92.341,3,0.646,Crosses of crossed colors 3,Mixed music 1966-1970,0
19,Santana,0.0,433.37098,0.0,0.0,1,0.202,-14.057,1,0.498,0.6277651347772472,nan,419.283,84.87,4,0.235,Fried Neck Bones And Some Home Fries,Santana/Abraxas/Santana(III) (3 Pak) (Costco Longbox Version),0
20,NOFX,0.0,108.12036,0.0,0.0,0,0.772,-4.926,1,0.76,0.5542914890128156,0.5965711976662524,105.198,198.201,4,0.0,Bath Of Least Resistance,Punk-O-Rama 6,2001
21,Louisa Mark feat. Kevin Henry,0.0,267.10159,0.47,0.0,5,0.159,-16.359,0,0.246,0.27326920934385807,0.0,255.64,151.728,7,0.0,Reunited,Breakout,0
22,Salt The Wound,0.0,218.80118,0.432,0.0,10,0.461,-8.452,0,0.538,0.44522219768945687,nan,218.801,179.629,4,0.464,I Swear the Visine is for my Allergies,Carnal Repercussions,2008
23,David Jalbert,0.0,153.33832,0.166,0.0,8,0.455,-30.925,1,0.464,0.31311974443621077,0.19039963058422918,140.487,44.407,4,0.0,Nocturne For Piano No. 8 In D Flat Major_ Op. 84 No. 8 (also in Huit pièces brèves_ Op. 84/8),Faure: Complete Nocturnes - David Jalbert,0
24,Dame Edna Everage with Carl Davis conducting the London Symphony Orchestra and The New Antipodean Singers,0.0,494.15791,0.108,0.0,8,0.535,-16.708,1,0.659,0.0,nan,480.56,134.828,3,0.789,Song Of Australia - Canto 6 (2009 Digital Remaster),The Last Night Of The Poms,0
25,Alexandre Desplat,0.0,81.71057,0.0,0.0,2,0.474,-23.465,1,0.589,0.5603808051579506,0.5730634771505312,74.884,244.268,4,0.32,Meeting Daisy,Music from the Motion Picture The Curious Case of Benjamin Button,2008
26,Monster Magnet,0.0,260.17914,0.345,0.0,0,0.532,-6.076,1,0.515,0.5171704806315667,0.5159636307203983,236.449,61.593,3,0.96,Black Celebration,For The Masses,1998
27,Despina Vandi,0.0,244.08771,0.223,0.0,2,0.323,-5.539,0,0.47,0.41168895978577885,nan,235.566,120.212,4,0.819,Ke T' Oniro Egine Efialtis,Despina Vandi - The Emi Years/The Complete Collection,0
28,Davol,0.0,270.00118,0.374,0.0,10,0.546,-17.793,0,0.588,0.3449688462152366,0.0,260.899,151.997,7,0.536,Another Land (World),Paradox,0
29,Eleanor McEvoy,0.0,280.0322,0.0,0.0,2,0.744,-7.625,1,0.808,0.34459281657928165,0.46438096959352015,273.032,150.061,3,0.028,Please Heart_ You're Killing Me,Snapshots,0
30,Eleanor McEvoy,0.0,258.42893,0.177,0.0,10,0.73,-13.63,1,0.787,0.34459281657928165,0.7096109528418396,227.944,100.02,4,0.554,Sophie,Snapshots,0
31,KALIMBA,0.0,208.09098,0.0,0.0,7,0.884,-5.637,1,0.766,0.43514467167760446,nan,200.812,133.994,4,0.34,No Volveras A Mi,Negroklaro,2007
32,Gisele MacKenzie,0.0,164.25751,0.0,0.0,7,0.901,-13.427,1,0.608,0.3180206467909012,0.0,159.742,91.517,4,0.904,Le Fiacre,In Person At The Empire Room (Digitally Remastered),0
33,Sensations,0.0,165.19791,0.222,0.0,2,0.088,-8.645,1,0.245,0.2432384475572016,nan,162.696,183.513,4,0.0,Superscout,Listen To My Shapes,2005
34,Rick Astley,0.0,317.83138,0.784,0.0,0,0.468,-14.989,1,0.575,0.5074642431149818,0.3867901771390143,307.949,174.059,4,0.87,The Bottom Line,Free,1991
35,The Germs,0.0,111.49016,0.148,0.0,9,0.396,-8.889,1,0.312,0.40439264015477133,0.37598430150044215,111.49,115.763,4,0.0,Going Down,M.I.A.: The Complete Germs,1993
36,Utopia,0.0,449.2273,0.0,0.0,2,0.746,-20.101,1,0.696,0.4303002791079415,0.3775316449767025,417.158,106.307,4,0.0,Hiroshima,Live in Tokyo  May 10th_ 1992,0
37,Back Door Slam,0.0,236.87791,0.0,0.0,1,0.629,-5.564,1,0.597,0.411545813621729,0.6193058811154868,220.955,123.382,4,0.089,It'll All Come Around (Album Version),Roll Away,2007
38,Mariah Carey,0.0,286.30159,0.183,0.0,7,0.34,-8.204,1,0.437,0.7870054686892299,0.573019827988094,276.683,109.253,1,0.0,Outside,BUTTERFLY,1997
39,ATB,0.0,262.21669,2.038,0.0,6,0.56,-6.4,1,0.465,0.5081770851783957,0.8106300904205341,234.08,132.998,4,0.338,Marrakech,No Silence,2004
40,Curtis Mayfield,0.0,348.60363,0.2,0.0,11,0.554,-10.347,1,0.522,0.49530669341111583,nan,338.077,106.507,4,0.766,People Never Give Up,Beautiful Brother - The Essential,1980
41,The Doors,0.0,403.61751,0.0,0.0,9,0.4,-9.053,0,0.432,0.584116573123994,nan,376.738,131.013,4,0.496,Roadhouse Blues (Live In Detroit) (LP Version),Set The Night On Fire: The Doors Bright Midnight Archives Concerts [w/Bonus Album],0
42,Patty Griffin,0.0,191.39873,0.241,0.0,2,0.793,-9.316,1,0.721,0.5145233784406406,0.6079086329842557,180.703,111.829,7,0.976,Let Him Fly,Living With Ghosts,1996
43,Laurie Berkner,0.0,167.00036,4.661,0.0,9,0.868,-10.62,1,0.865,0.37632596022927123,0.46264318259167037,164.38,139.628,1,0.0,The Cat Came Back,Whaddaya Think of That?,0
44,Be Bop Deluxe,0.0,221.93587,0.09,0.0,4,0.529,-13.035,0,0.575,0.3828430622091098,0.26586104921065007,221.936,121.615,4,0.986,Sister Seagull (Live),Live! In The Air Age,1991
45,Monster Magnet,0.0,289.12281,0.0,0.0,0,0.819,-6.724,1,0.556,0.5171704806315667,0.5519215149416955,271.192,89.296,5,1.0,Down In The Jungle,God Says No,2000
46,The Roots,0.0,54.12526,0.421,0.0,2,0.517,-16.453,1,0.501,0.6002824907473767,0.6372360944189687,49.842,85.875,1,0.553,Act Won (Things Fall Apart),Things Fall Apart,0
47,Tranzas,0.0,213.7073,0.324,0.0,8,0.191,-7.754,1,0.348,0.3695057504791091,0.5033812362063191,196.423,112.051,4,0.772,Mientras me quieras,Por Siempre,2000
48,Eclier,0.0,322.19383,0.389,0.0,3,0.56,-5.815,0,0.428,0.3634668864790582,0.36727341580934564,316.923,84.639,1,1.0,Alpha River,Alpha River - EP,0
49,Groupa Med Lena Willemark,0.0,227.89179,0.102,0.0,4,0.746,-12.147,0,0.776,0.2959679840471214,nan,215.777,168.989,4,0.163,Skymning,Månskratt,0
50,Leroy Hutson,0.0,324.25751,0.148,0.0,11,0.359,-15.969,1,0.289,0.39717904259160935,0.0,314.479,89.88,4,0.672,So Nice - Original,Leroy Hutson Selected Hits Vol. 2,0
51,Billy Murray,0.0,176.5873,0.0,0.0,7,0.083,-17.59,1,0.293,0.3225499654741361,nan,176.587,115.771,1,0.0,Goodbye Broadway_ Hello France,Over There! Songs of the American Expeditionary Force 1917-18,0
52,Steve Vai,0.0,305.94567,0.0,0.0,9,0.262,-7.34,1,0.43,0.543954417055839,nan,305.946,157.996,3,0.976,Salamanders In The Sun,Sound Theories Vol. I & II,1984
53,Sergio Dalma,0.0,239.43791,0.364,0.0,7,0.786,-11.102,1,0.741,0.35697025986249137,nan,230.301,80.039,3,0.836,Te Quiero Mamma,Esa Chica Es Mia,0
54,Geier Sturzflug,0.0,211.35628,0.601,0.0,9,0.269,-6.574,1,0.361,0.44311687398574556,nan,204.957,120.985,4,0.298,Wie ein Eisbär sein,Hör auf zu weinen,0
55,Fergie,0.0,440.18893,0.0,0.0,11,0.538,-10.441,0,0.526,0.5602055463890734,nan,407.545,126.966,4,0.0,Exit People,Remixed at 16:05,0
56,Lonnie Johnson,0.0,164.12689,0.461,0.0,0,0.678,-17.876,1,0.496,0.4048271165593455,nan,157.077,96.859,1,0.607,You Don't See Into The Blues Like Me,Lonnie Johnson Vol. 1 (1925-1926),0
57,Steel Rain,0.0,235.20608,0.938,0.0,3,0.413,-8.045,0,0.414,0.0,nan,226.992,138.311,4,0.71,Sanity Fades,Trial and Error,0
58,Orthrelm,0.0,70.03383,0.0,0.0,9,0.155,-4.665,1,0.345,0.2965536905119507,nan,64.824,164.216,4,0.909,Scelxenak,2nd18/04,2002
59,Len Barry,0.0,293.95546,4.452,0.0,1,0.646,-11.708,1,0.497,0.34620216014102156,0.0,284.619,112.281,4,0.998,Dirty Old Man,Len Barry - The Hits,0
60,The Chieftains,0.0,217.25995,0.109,0.0,8,0.535,-19.769,1,0.484,0.3789698005016593,nan,213.008,116.044,1,0.0,When A Man's In Love,St. Patrick'S Day Celebration,1980
61,Barbarito Diez,0.0,170.23955,0.0,0.0,2,0.618,-8.714,0,0.69,0.2663430816204065,0.24906579485370342,165.169,119.693,4,0.573,La Sitiera,La Leyenda Viva!!! La Verdadera Historia,0
62,Blingtones,0.0,14.86322,0.0,0.0,0,0.0,-6.53,1,0.0,0.0,nan,14.863,73.531,4,0.964,Gross Throw-up Burp (Sonnerie_ Ringtone),Rots à gogo : Burping Ringtones_ Sonneries rots,0
63,Orquesta Romantica de La Habana,0.0,200.75057,0.738,0.0,10,0.454,-15.137,1,0.456,0.5130656545045009,nan,195.379,137.835,1,0.0,Serenata,18 Exitos,0
64,Charlie Byrd,0.0,348.21179,0.252,0.0,2,0.611,-17.722,1,0.758,0.31055608317952577,nan,341.06,94.223,4,0.0,Speak Low,Byrd & Brazil,1997
65,Seguridad Social,0.0,254.53669,0.194,0.0,9,0.984,-6.668,1,0.801,0.3903610047576713,nan,236.089,169.663,4,0.0,El Oro De La Gallina De Los Huevos,Camino Vertical,1999
66,Marcel Mouloudji,0.0,129.77587,0.428,0.0,1,0.245,-15.788,0,0.407,0.2700999824694024,nan,124.093,108.333,4,0.74,Madeleine,36 Grands Succès,0
67,Vex'd,0.0,295.49669,0.0,0.0,2,0.291,-11.596,1,0.372,0.375367266726902,0.6053318871530874,284.886,117.007,4,0.337,Oceans,Cloud Seed,2010
68,The Blind Boys Of Alabama,0.0,176.40444,0.198,0.0,9,0.002,-10.844,1,0.149,0.42427111444565735,0.34580223396532944,165.75,86.366,4,0.353,New Born Soul,Atom Bomb,2005
69,Princess Lover,0.0,262.45179,0.467,0.0,9,0.0,-8.436,1,0.106,0.3994927874638357,0.0,253.26,166.029,4,0.464,Prends-Moi La Main,Tous Mes Rêves,2007
70,Joe Bonamassa,0.0,372.76689,0.061,0.0,5,0.432,-8.265,0,0.521,0.5110543538982074,nan,363.752,66.366,3,0.823,So Many Roads,Live From Nowhere In Particular,2006
71,Brazilian Tropical Orchestra,0.0,174.70649,0.305,0.0,0,0.377,-15.479,1,0.399,0.3394084863551408,nan,166.452,99.397,4,0.613,If You Leave Me Now,Plays Boleros,0
72,System of a Down,0.0,160.49587,0.206,0.0,0,0.552,-4.173,1,0.479,0.6092621360015158,0.8498731240081852,157.901,196.201,4,0.0,War?,System Of A Down,1996
73,Blind Blake,0.0,218.43546,0.188,0.0,2,0.0,-19.809,1,0.153,0.3513450770925733,nan,214.082,104.001,1,0.102,Too Tight Blues No. 2,All the Published Sides,0
74,Sunidhi Chauhan / Anu Malik / Jatin Sharma,0.0,319.32036,0.566,0.0,9,0.825,-9.63,1,0.429,0.40576703295743805,0.42530424172042486,314.921,127.98,4,0.215,Dekh Le,Shilpa Shetty's Sound Of Bollywood,0
75,Kieran,0.0,243.25179,0.189,0.0,5,0.566,-6.585,0,0.639,0.3274217053204881,0.0,220.996,155.757,3,1.0,You Saved My Life,You Saved My Life,0
76,Antigone Rising,0.0,213.55057,0.0,0.0,8,0.55,-5.098,1,0.603,0.3439639107143764,0.4454545254934259,208.219,123.944,4,0.757,Don't Look Back (Radio Edit),From The Ground Up,2005
77,Al Di Meola,0.0,291.02975,0.102,0.0,0,0.464,-13.739,1,0.451,0.46151720449793504,0.4994458348006321,286.296,209.581,4,0.01,Splendido Sundance,Splendido Hotel,1980
78,Pink Floyd,0.0,188.1073,0.73,0.0,9,0.378,-9.992,1,0.262,0.6389063767175533,0.7934711882688334,188.107,117.634,4,0.525,The Gold It's In The ... (1996 Digital Remaster),Obscured By Clouds,1972
79,El Tiempo,0.0,179.51302,0.241,0.0,4,0.095,-7.413,1,0.467,0.0,nan,164.763,97.08,4,0.536,Tu Ex Amor,Tesoros De Coleccion,0
80,Frl.Menke,0.0,229.51138,0.0,0.0,0,0.757,-10.685,1,0.703,0.31006542453762087,nan,217.525,156.414,4,0.91,Komm Computer,Hohe Berge,1982
81,The Hollywood Brats,0.0,41.16853,0.328,0.0,4,0.956,-20.678,1,0.655,0.3684550906517637,0.30416950343527516,39.027,89.483,3,0.972,Empty Bottles,Hollywood Brats,0
82,Taboo,0.0,213.002,0.0,0.0,2,0.208,-6.669,0,0.214,0.3396275610443634,nan,208.486,140.001,4,0.661,Gyere velem,The Party Album,0
83,Roger Miller,0.0,146.23302,0.375,0.0,0,0.28,-13.261,1,0.441,0.41787057814887635,0.26586104921065007,137.66,112.884,3,0.608,Husbands And Wives,All Time Greatest Hits,0
84,Prince,0.0,500.29669,0.235,0.0,0,0.185,-5.021,1,0.489,0.5946278669439055,nan,492.06,120.284,4,0.652,She Spoke 2 Me ( Extended Remix LP Version),The Vault - Old Friends 4 Sale,0
85,The Nelons,0.0,236.5122,0.194,0.0,3,0.656,-6.564,1,0.612,0.3502138249441181,nan,222.192,141.982,4,0.331,God Keeps A Candle,Following After,0
86,Chris Farlowe,0.0,395.93751,0.967,0.0,4,0.39,-13.585,0,0.498,0.33857502645721227,nan,370.834,106.328,3,0.932,Blues As Blues Can Get,As Time Goes By [Original Recording Remastered],0
87,Devo,0.0,175.25506,0.0,0.0,4,0.582,-11.951,1,0.345,0.5324458709594074,0.4432913119053975,175.255,152.942,4,0.492,Be Stiff (Live),Q: Are We Not Men?  A: We Are Devo / Devo Live,1993
88,Carl Smith,0.0,141.06077,0.0,0.0,4,0.06,-13.425,0,0.412,0.3517177511209014,0.0,136.661,181.018,4,0.186,I Wonder Where You Are Tonight,In Memory of Carl Smith,0
89,Blind Blake,0.0,220.26404,0.216,0.0,0,0.117,-19.819,1,0.262,0.3513450770925733,nan,215.098,88.874,1,0.0,Bootleg Rum Dum Blues,All the Published Sides,0
90,Clockwise,0.0,404.68853,0.0,0.0,6,0.651,-8.45,0,0.689,0.28423446680720116,0.0,367.578,88.132,4,0.651,the tales of King Solitude 1:3,Nostalgia,0
91,Snow Patrol,0.0,217.57342,0.175,0.0,0,0.866,-10.786,1,0.769,0.667294595643469,0.5908906112984623,207.314,186.44,3,0.934,It Doesn't Matter Where_ Just Drive,Chasing Cars,2006
92,Aiden,0.0,206.8371,0.0,0.0,2,0.292,-5.653,0,0.458,0.5004591506589332,0.0,199.924,163.604,4,0.478,Teenage Queen (Album Version),Conviction,2007
93,Lighthouse Family,0.0,241.24036,2.27,0.0,3,0.0,-8.077,0,0.306,0.4021670475170316,0.7939874604417725,228.711,153.474,4,1.0,Run,The Very Best Of,2001
94,Randy Travis,0.0,176.43057,0.688,0.0,10,0.185,-8.504,0,0.326,0.5432255210454612,0.0,164.711,112.613,4,0.0,Don't Take Your Love Away From Me (Album Version),Full Circle,1996
95,Johnny Horton,0.0,123.402,0.104,0.0,11,0.886,-15.419,1,0.688,0.43816822618224227,nan,114.637,226.146,4,0.14,The Golden Rocket,Honky Tonk Man:  The Essential Johnny Horton 1956-1960,1996
96,The Roches,0.0,295.13098,0.143,0.0,9,0.924,-12.512,1,0.755,0.37225120793006455,0.0,284.003,147.087,4,0.839,Losing True (Album Version),Keep On Doing,1982
97,An Cafe,0.0,233.03791,2.757,0.0,5,0.276,-4.329,1,0.318,0.3138666001571988,0.21204540548371908,219.974,131.059,4,0.0,S*B*Y,Goku Tama Rock Cafe,0
98,Bryan White,0.0,166.24281,0.0,0.0,1,0.828,-5.797,1,0.608,0.42689268086794374,nan,156.421,107.669,4,0.618,Love Happens Just Like That (LP Version),How Lucky I Am,1999
99,Architecture In Helsinki,0.0,210.49424,9.66,0.0,11,0.901,-5.508,1,0.636,0.5051816158691929,nan,192.104,126.294,4,0.0,The Same Old Innocence,Places Like This,2007
100,Natasha Bedingfield,0.0,341.41995,0.0,0.0,7,0.91,-8.652,1,0.635,0.7696742792951634,nan,338.936,162.329,4,0.896,Love Like This,Love Like This,2008
101,Los Salvajes,0.0,229.14567,2.606,0.0,2,0.767,-5.701,1,0.693,0.29743541620809394,nan,224.833,137.049,1,0.0,Corre_ Corre (Keep On Running),60x60 Leyendas Del Pop-Rock,0
102,Ennio Morricone,0.0,134.37342,0.206,0.0,5,0.569,-13.491,1,0.38,0.526846925183824,nan,131.181,140.148,4,0.857,1900's Madness #1,The Legend of 1900 - Original Motion Picture Soundtrack,0
103,Raze,0.0,25.88689,0.383,0.0,2,0.0,-20.74,1,0.0,0.40737314928722795,nan,25.887,92.403,7,0.458,Intro. (The Plan Album Version),The Plan,0
104,Havok,0.0,238.07955,0.0,0.0,5,0.044,-20.519,1,0.386,0.4168717661517543,0.3347065490692206,233.761,98.9,1,0.0,Monologue With the Sky,Being And Nothingness,0
105,BMX Bandits,0.0,208.40444,0.073,0.0,1,0.808,-10.223,1,0.73,0.3485530284354946,0.4507622416414992,200.916,127.434,4,0.532,After I Made Love To You,Bee Stings,2007
106,Flame,0.0,259.18649,0.662,0.0,0,0.729,-9.073,1,0.565,0.4586463723826615,0.38293509007501925,251.913,127.974,4,0.408,Freed From Desire (Alternate Mix),Dance X Trance,0
107,Rustless,0.0,119.53587,1.03,0.0,6,0.273,-11.991,0,0.139,0.0,0.0,115.136,122.089,4,0.297,It's The Three Of Us Left,Start From The Past,0
108,Timo Maas featuring MC Chikaboo,0.0,333.87057,0.0,0.0,11,0.36,-7.135,1,0.393,0.3966195656003381,0.6830048923102473,324.22,130.026,4,0.831,Shifter,Loud,2002
109,Gonzalo Rubalcaba,0.0,586.29179,7.645,0.0,3,0.454,-21.052,1,0.482,0.34517431863973785,0.21508031850922793,563.769,62.008,1,0.823,Cuatro Veinte,Mi Gran Pasion,0
110,Plaza,0.0,188.39465,0.206,0.0,1,0.139,-11.398,0,0.541,0.2776405887129925,0.5528750148605902,183.182,125.181,4,0.247,Goor,Jet Set Montecarlo - Electronic Relaxing Moods,0
111,Roy Drusky,0.0,192.10404,3.46,0.0,11,0.325,-20.106,0,0.356,0.3065186000380746,nan,187.942,104.416,3,1.0,Funny How Time Slips Away,You Win  Again,0
112,Jim Jones / Chink Santana,0.0,289.74975,0.0,0.0,10,0.633,-6.937,0,0.552,0.528614974324017,0.41967427880955327,278.018,122.038,1,0.952,Dont Push Me Away,Jim Jones / Hustler's P.O.M.E. (Product Of My Environment),0
113,John Wesley,0.0,246.69995,0.16,0.0,0,0.789,-9.113,1,0.698,0.45278947675222264,0.3231121208952123,246.7,169.193,4,0.0,Cuttin' the Tree,Under the Red and White Sky,1999
114,The Perrys,0.0,213.60281,0.0,0.0,7,0.069,-8.392,0,0.209,0.38067987361328043,nan,206.634,96.024,4,0.559,Run And Tell,Come To The Fountain,0
115,Margaret Becker,0.0,292.10077,0.254,0.0,6,0.292,-14.979,0,0.414,0.4041576710256122,nan,275.731,148.8,4,0.453,O Come_ O Come Emmanuel,Christmas Music For The Heart,0
116,Neema,0.0,209.44934,0.154,0.0,10,0.207,-7.86,0,0.307,0.3557903968365619,nan,202.466,162.575,4,0.528,Angel [2004],The Collective_ Vol. 1,0
117,Leila Chicot,0.0,236.19873,0.13,0.0,2,0.602,-6.396,0,0.557,0.382246363216006,nan,228.751,90.0,4,0.575,Tout bizwen (feat. Milca_ Synn'Tya_ Shaolin),Renaissance,0
118,Sick Of It All,0.0,175.41179,0.142,0.0,9,0.383,-7.497,1,0.36,0.4208018495070056,0.5237873626964301,172.832,96.703,4,0.697,Burn 'Em Down (LP Version),Built To Last,1997
119,Penguin Café Orchestra,0.0,281.28608,0.223,0.0,7,0.531,-15.776,1,0.663,0.40650824851981693,0.0,265.81,116.933,4,1.0,Music By Numbers (2001 Digital Remaster),A History,0
120,Giorgos Marinis,0.0,286.37995,0.38,0.0,9,0.58,-5.955,1,0.423,0.0,nan,282.291,100.079,4,0.167,Klaio Gia Sena (Niagaras),Giorgos Marinis,0
121,Gary Moore,0.0,724.92363,0.0,0.0,6,0.095,-13.026,0,0.302,0.4671106485845494,0.23962909777363708,708.812,112.47,4,0.979,I Can't Wait Until Tomorrow (Live),Rockin' Every Night (Gary Moore Live In Japan),0
122,Caramell,0.0,218.40934,0.2,0.0,0,0.084,-5.426,0,0.321,0.3956998297469312,nan,211.487,137.954,4,0.134,Expolodera (som dynamit),Gott och blandat,1999
123,Massive Töne,0.0,220.78649,0.345,0.0,1,1.0,-5.839,1,0.67,0.37187815524297985,0.3603705827121406,217.403,97.054,4,1.0,Im Club,MT3,2002
124,Cedric Myton,0.0,520.04526,0.0,0.0,1,0.0,-7.269,1,0.0,0.1763923415652082,nan,516.963,132.084,1,0.066,Wisdom,Cedric "congo" myton inna de yard,0
125,Los Traileros Del Norte,0.0,163.23873,0.067,0.0,5,0.682,-8.662,1,0.523,0.3010940912365588,nan,155.516,189.682,4,0.0,Perro Faldero,A Todo Terreno,0
126,Egberto Gismonti,0.0,236.7473,0.27,0.0,1,0.833,-9.2,1,0.554,0.39762053508106665,nan,224.932,154.084,1,0.0,Baiao Malandro,Antologia,0
127,Zombina & The Skeletones,0.0,210.93832,0.0,0.0,7,0.541,-7.336,1,0.5,0.40948425265569705,nan,190.392,190.035,4,0.0,I Was a Human Bomb for the FBI,I Was a Human Bomb for the FBI,2006
128,Winston McAnuff_ The Bazbaz Orchestra,0.0,225.04444,0.572,0.0,1,0.771,-7.983,1,0.664,0.2782635398371414,0.0,217.797,135.706,4,0.848,Common sense,A drop,2005
129,Bela Fleck And The Flecktones,0.0,309.9424,0.218,0.0,5,0.664,-15.001,1,0.495,0.27236462632552966,nan,273.223,75.699,3,0.81,Throwdown At The Hoedown (LP Version),Left Of Cool,0
130,Frank Stokes,0.0,176.32608,0.264,0.0,5,0.555,-16.748,0,0.409,0.3510236822951621,nan,172.292,149.056,1,0.0,Sweet To Mama,Creator Of The Memphis Blues,2005
131,Stefano Battaglia_ Giovanni Maier_ Michele Rabbia,0.0,343.50975,6.699,0.0,7,0.511,-22.999,0,0.553,0.41678655846073864,nan,330.379,37.797,4,0.0,Raccolto,Raccolto,0
132,Bon Jovi,0.0,302.28853,0.148,0.0,10,0.189,-4.621,0,0.035,0.7188914556702095,0.7172064407610393,285.124,120.72,4,0.0,Only Lonely,7800 Fahrenheit,1985
133,Las Niñas,0.0,183.48363,0.125,0.0,11,0.574,-8.794,0,0.568,0.28168422732571735,0.23962909777363708,173.552,112.006,5,0.269,Castillos Y Sueños,Savia Negra,2005
134,Simply Red,0.0,302.49751,0.218,0.0,7,0.137,-8.589,1,0.44,0.4985636112679809,0.0,292.728,190.01,4,0.758,So Not Over You (Motivo-Pop Lectro Mix),So Not Over You,2007
135,Christina Aguilera,0.0,229.53751,0.0,0.0,5,0.264,-5.426,1,0.384,0.7257460818523215,0.6616481818589272,221.431,139.629,5,0.684,Cruz,Christina Aguilera/Stripped,2002
136,Frank Ifield,0.0,163.60444,0.328,0.0,0,0.536,-11.441,1,0.536,0.3648176175489906,nan,158.139,123.825,4,0.532,Yodelling Mad (2002 Digital Remaster),Frank Ifield Sings Country & Classics,0
137,Triana Pura,0.0,252.9171,0.0,0.0,2,0.691,-7.742,0,0.542,0.2547464398514403,0.0,248.535,221.796,3,0.772,Afonsina y el mar,De Triana al Cielo,0
138,Casiotone For The Painfully Alone,0.0,47.46404,0.595,0.0,0,0.0,-11.088,1,0.0,0.3942171989010042,0.7545622959004358,43.752,72.685,5,0.586,Happy Mother's Day,Etiquette,2006
